order_line_id,order_id,user_id,user_created_date,order_date,local_currency,global_currency,revenue_local_currency,revenue_global_currency
1607766433,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.098 +0000,GBP,USD,17.39333333,17.39333333
1607766377,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.126 +0000,GBP,USD,2.72333333,2.72333333
1607766566,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.133 +0000,GBP,USD,-0.17000000,-0.17000000
1607766517,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.133 +0000,GBP,USD,13.22000000,13.22000000
1607766454,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.141 +0000,GBP,USD,8.66666667,8.66666667
1607766356,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.141 +0000,GBP,USD,4.87000000,4.87000000
1607766545,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.243 +0000,GBP,USD,-13.06666667,-13.06666667
1607808076,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.315 +0000,GBP,USD,12.26000000,12.26000000
1607808202,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.345 +0000,GBP,USD,13.01333333,13.01333333
1607808111,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.427 +0000,GBP,USD,8.49333333,8.49333333
1607808237,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.684 +0000,GBP,USD,0.00333333,0.00333333
1607870208,2947931,1329716,2021-09-01 07:50:22.682 +0000,2021-09-01 08:01:53.894 +0000,GBP,USD,5.68000000,5.68000000
1607746945,2947678,1329682,2021-09-01 04:08:08.739 +0000,2021-09-01 05:13:54.778 +0000,GBP,USD,13.06666667,13.06666667
1607746861,2947678,1329682,2021-09-01 04:08:08.739 +0000,2021-09-01 05:13:54.796 +0000,GBP,USD,24.86666667,24.86666667
1607757648,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.257 +0000,GBP,USD,8.63666667,8.63666667
1607757739,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.292 +0000,GBP,USD,39.17333333,39.17333333
1607757641,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.298 +0000,GBP,USD,4.90000000,4.90000000
1607757760,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.345 +0000,GBP,USD,0.00333333,0.00333333
1607757718,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.468 +0000,GBP,USD,40.77333333,40.77333333
1607766412,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.003 +0000,GBP,USD,9.07333333,9.07333333
1607766398,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.020 +0000,GBP,USD,6.02666667,6.02666667
1607766377,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.061 +0000,GBP,USD,2.72333333,2.72333333
1607766447,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.098 +0000,GBP,USD,9.33333333,9.33333333
1607746903,2947678,1329682,2021-09-01 04:08:08.739 +0000,2021-09-01 05:13:54.778 +0000,GBP,USD,7.01333333,7.01333333
1607746847,2947678,1329682,2021-09-01 04:08:08.739 +0000,2021-09-01 05:13:54.807 +0000,GBP,USD,9.45000000,9.45000000
1607746889,2947678,1329682,2021-09-01 04:08:08.739 +0000,2021-09-01 05:13:54.991 +0000,GBP,USD,10.84000000,10.84000000
1607757760,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.305 +0000,GBP,USD,0.00333333,0.00333333
1607757704,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.614 +0000,GBP,USD,5.71000000,5.71000000
1607757690,2947700,1329688,2021-09-01 05:27:42.950 +0000,2021-09-01 05:32:25.614 +0000,GBP,USD,11.53333333,11.53333333
1607766468,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:39.979 +0000,GBP,USD,3.94333333,3.94333333
1607766405,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.031 +0000,GBP,USD,9.07333333,9.07333333
1607766531,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.037 +0000,GBP,USD,2.55000000,2.55000000
1607766454,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.037 +0000,GBP,USD,8.66666667,8.66666667
1607766517,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.050 +0000,GBP,USD,13.22000000,13.22000000
1607766566,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.056 +0000,GBP,USD,-0.17000000,-0.17000000
1607766559,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.067 +0000,GBP,USD,-28.80000000,-28.80000000
1607766377,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.072 +0000,GBP,USD,2.72333333,2.72333333
1607766531,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.072 +0000,GBP,USD,2.55000000,2.55000000
1607766461,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.078 +0000,GBP,USD,7.62333333,7.62333333
1607766377,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.090 +0000,GBP,USD,2.72333333,2.72333333
1607766447,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.104 +0000,GBP,USD,9.33333333,9.33333333
1607766391,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.243 +0000,GBP,USD,9.04333333,9.04333333
1607766447,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.263 +0000,GBP,USD,9.33333333,9.33333333
1607766475,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.482 +0000,GBP,USD,9.36333333,9.36333333
1607766552,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.488 +0000,GBP,USD,1.57333333,1.57333333
1607766377,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.488 +0000,GBP,USD,2.72333333,2.72333333
1607766496,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.524 +0000,GBP,USD,7.76666667,7.76666667
1607766489,2947719,1329690,2021-09-01 05:39:48.916 +0000,2021-09-01 05:49:40.524 +0000,GBP,USD,5.19000000,5.19000000
1607779922,2947747,1329696,2021-09-01 06:06:49.120 +0000,2021-09-01 06:08:48.814 +0000,GBP,USD,-13.06666667,-13.06666667
1607808209,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.329 +0000,GBP,USD,8.05666667,8.05666667
1607808090,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.354 +0000,GBP,USD,6.46333333,6.46333333
1607808132,2947803,1329698,2021-09-01 06:18:55.050 +0000,2021-09-01 06:48:54.367 +0000,GBP,USD,4.00000000,4.00000000
